SCATS_ID,OSM_ID,Nearest_Lat,Nearest_Lon,Mapped_Node_ID,Mapped_Lon,Mapped_Lat,dist_to_road_node
4057,5010888883,-37.80336380004883,145.08316040039062,5010888883,145.08316040039062,-37.80336380004883,0.0
3001,12069077209,-37.813018798828125,145.02362060546875,12069077209,145.02362060546875,-37.813018798828125,0.0
3002,12120726031,-37.81355667114258,145.0279083251953,12120726031,145.0279083251953,-37.81355667114258,0.0
4035,12193947239,-37.81718063354492,145.05938720703125,12193947239,145.05938720703125,-37.81718063354492,0.0
4032,11393426883,-37.80069732666016,145.0625457763672,11393426883,145.0625457763672,-37.800697326660156,7.105427357601002e-15
4040,9411446211,-37.83126831054688,145.05667114257812,9411446211,145.05667114257812,-37.831268310546875,7.105427357601002e-15
3120,5240477277,-37.821266174316406,145.05860900878906,5240477277,145.05860900878906,-37.821266174316406,0.0
4034,4326585007,-37.81023788452149,145.0607147216797,4326585007,145.0607147216797,-37.810237884521484,7.105427357601002e-15
4030,9167202758,-37.79331207275391,145.06385803222656,9167202758,145.06385803222656,-37.793312072753906,7.105427357601002e-15
4043,12133740668,-37.845611572265625,145.05398559570312,12133740668,145.05398559570312,-37.845611572265625,0.0
2000,12200070399,-37.85028076171875,145.0956573486328,12200070399,145.0956573486328,-37.85028076171875,0.0
4266,12212736700,-37.823726654052734,145.04469299316406,12212736700,145.04469299316406,-37.823726654052734,0.0
4262,1462399079,-37.81990432739258,145.0164794921875,1462399079,145.0164794921875,-37.81990432739258,0.0
4264,9088262142,-37.82250213623047,145.03536987304688,9088262142,145.03536987304688,-37.82250213623047,0.0
4263,12193536797,-37.82147216796875,145.02639770507812,12193536797,145.02639770507812,-37.82147216796875,0.0
3812,9279635959,-37.83595275878906,145.06227111816406,9279635959,145.06227111816406,-37.83595275878906,0.0
3127,21643788,-37.82379150390625,145.07923889160156,21643788,145.07923889160156,-37.82379150390625,0.0
3122,21643749,-37.822265625,145.06570434570312,21643749,145.06570434570312,-37.822265625,0.0
3126,12154642419,-37.82622909545898,145.09983825683594,12154642419,145.09983825683594,-37.826229095458984,7.105427357601002e-15
2820,9070355555,-37.79305648803711,145.03155517578125,9070355555,145.03155517578125,-37.79305648803711,0.0
4324,21643772,-37.807708740234375,145.0381622314453,21643772,145.0381622314453,-37.807708740234375,0.0
3180,11571571941,-37.79452133178711,145.0848846435547,11571571941,145.0848846435547,-37.79452133178711,0.0
4051,7888965026,-37.7924919128418,145.07052612304688,7888965026,145.07052612304688,-37.7924919128418,0.0
2827,11962149341,-37.77919006347656,145.08145141601562,11962149341,145.08145141601562,-37.77919006347656,0.0
2825,3653386435,-37.7851448059082,145.06338500976562,3653386435,145.06338500976562,-37.7851448059082,0.0
4270,11769380948,-37.82865524291992,145.03424072265625,11769380948,145.03424072265625,-37.82865524291992,0.0
4335,11416925529,-37.80498504638672,145.03579711914062,11416925529,145.03579711914062,-37.80498504638672,0.0
3662,1522834359,-37.80736923217773,145.0290985107422,1522834359,145.0290985107422,-37.807369232177734,7.105427357601002e-15
4321,247297077,-37.79942321777344,145.0506591796875,247297077,145.0506591796875,-37.79942321777344,0.0
2200,9408676170,-37.8149299621582,145.0994110107422,9408676170,145.0994110107422,-37.8149299621582,0.0
2846,10271039135,-37.86347961425781,145.0811309814453,10271039135,145.0811309814453,-37.86347961425781,0.0
4272,12193565446,-37.83030700683594,145.04762268066406,12193565446,145.04762268066406,-37.83030700683594,0.0
3804,21650937,-37.8321533203125,145.06369018554688,21650937,145.06369018554688,-37.8321533203125,0.0
4812,9275188951,-37.82723236083984,145.01718139648438,9275188951,145.01718139648438,-37.827232360839844,7.105427357601002e-15
4273,9509392034,-37.84530258178711,145.04501342773438,9509392034,145.04501342773438,-37.84530258178711,0.0
4821,8558271414,-37.82736206054688,145.02528381347656,8558271414,145.02528381347656,-37.827362060546875,7.105427357601002e-15
970,9242283050,-37.86576461791992,145.09266662597656,9242283050,145.09266662597656,-37.86576461791992,0.0
3685,12200070378,-37.85340881347656,145.09510803222656,12200070378,145.09510803222656,-37.85340881347656,0.0
3682,12154636990,-37.83588790893555,145.09823608398438,12154636990,145.09823608398438,-37.83588790893555,0.0
4063,4543994763,-37.81272506713867,145.08135986328125,4543994763,145.08135986328125,-37.81272506713867,0.0
